pseudo_bulk	cluster	annotation
I70_Carp_S08	1	epithelial
I75_Carp_S08	1	epithelial
I82_Carp_S08	1	epithelial
I8_Carp_S08	1	epithelial
C12_Carp_S09	1	epithelial
C22_Carp_S09	1	epithelial
C29_Carp_S09	1	epithelial
C38_Carp_S09	1	epithelial
C4_Carp_S09	1	epithelial
C54_Carp_S09	5	fibroblast
C61_Carp_S09	1	epithelial
C65_Carp_S09	1	epithelial
C72_Carp_S09	0	myeloid
C82_Carp_S09	6	endothelial
I24_Carp_S09	1	epithelial
I29_Carp_S09	1	epithelial
I30_Carp_S09	1	epithelial
I31_Carp_S09	1	epithelial
I35_Carp_S09	1	epithelial
I37_Carp_S09	1	epithelial
I38_Carp_S09	1	epithelial
I40_Carp_S09	1	epithelial
I41_Carp_S09	1	epithelial
I42_Carp_S09	1	epithelial
I45_Carp_S09	1	epithelial
I48_Carp_S09	1	epithelial
I51_Carp_S09	1	epithelial
I52_Carp_S09	1	epithelial
I57_Carp_S09	1	epithelial
I62_Carp_S09	1	epithelial
I64_Carp_S09	1	epithelial
I67_Carp_S09	1	epithelial
I79_Carp_S09	1	epithelial
I7_Carp_S09	1	epithelial
C101_Carp_S10	5	fibroblast
C103_Carp_S10	1	epithelial
C104_Carp_S10	5	fibroblast
C106_Carp_S10	1	epithelial
C116_Carp_S10	1	epithelial
C133_Carp_S10	1	epithelial
C16_Carp_S10	1	epithelial
C29_Carp_S10	1	epithelial
C2_Carp_S10	0	myeloid
C30_Carp_S10	1	epithelial
C35_Carp_S10	1	epithelial
C44_Carp_S10	6	endothelial
C46_Carp_S10	1	epithelial
C56_Carp_S10	1	epithelial
C68_Carp_S10	1	epithelial
C6_Carp_S10	1	epithelial
C74_Carp_S10	1	epithelial
C75_Carp_S10	1	epithelial
C90_Carp_S10	1	epithelial
I101_Carp_S10	1	epithelial
I103_Carp_S10	1	epithelial
I111_Carp_S10	1	epithelial
I131_Carp_S10	1	epithelial
I21_Carp_S10	1	epithelial
I26_Carp_S10	1	epithelial
I30_Carp_S10	1	epithelial
I31_Carp_S10	1	epithelial
I35_Carp_S10	1	epithelial
I41_Carp_S10	1	epithelial
I42_Carp_S10	1	epithelial
I57_Carp_S10	1	epithelial
I59_Carp_S10	1	epithelial
I61_Carp_S10	1	epithelial
I65_Carp_S10	1	epithelial
I68_Carp_S10	1	epithelial
I70_Carp_S10	1	epithelial
I71_Carp_S10	1	epithelial
I75_Carp_S10	1	epithelial
I80_Carp_S10	1	epithelial
I81_Carp_S10	1	epithelial
I82_Carp_S10	1	epithelial
I86_Carp_S10	1	epithelial
I87_Carp_S10	1	epithelial
I92_Carp_S10	1	epithelial
